Категория  | Дата | Изменения
Клей | 45730 | Добавлена новая фасовка клея многоцелевого Bonkeel Prof для пола и стен 1,3 кг
Коммерческий ковролин | 45730 | Добавлен новый коммерческий ковролин Bonkeel Soul Two
Ковролин концепты AW | 45730 | Снижены цены на ковролин концепт AW Sensuality
Ковролин концепты AW | 45730 | Добавлена новая коллекция ковролина AW Silk в концепт Sensuality
Ламинат | 45730 | Добавлена новая коллекция ламината Bonkeel Block
Подложка | 45730 | Повышены цены на подложку Bonkeel Soft Contract XL 6мм
Подложка | 45730 | Добавлена новая подложка Bonkeel Step, Comfort, Object, Pro и Sport
Грязезащита | 45730 | Добавлена новая категория товара Грязезащита
  |   | Изменения 12 марта 2025г
Плитка LVT и SPC | 45728 | Добавлены новые коллекции SPC Bonkeel Base NEW и Line NEW
Плитка LVT и SPC | 45728 | Снижены цены акции на складской запас плитки SPC Bonkeel Line 301, 302, 303 и 402 и Bonkeel Base 111, 112, 210 и 211
Плитка LVT и SPC | 45728 | Добавлены декоры Line 402 и Base 211 в акцию на складской запас плитки SPC Bonkeel
Плитка LVT и SPC | 45728 | Акция: снижены цены Дилер на складской запас плитки SPC Bonkeel Wood
Ковровая плитка | 45728 | Снижены цены Дилер на ковровую плитку AW
Ковровая плитка | 45728 | Снижены цены Розница на ковровую плитку AW Medusa
  |   | Изменения 11 марта 2025г
Линолеум бытовой рулоны | 45727 | Окончание акции снижения цены на бытовой линолеум коллекций и декоров Idyllia Nova Marlon 1 и Urban 1, Favorite Muskat 1, Ashland 1 и Tron 2, Sprint Pro Baden 3 и Parade 1, Comfort Spenser 5 и Pryanik 1, Bonus Duart 1 и Nord 1, Stimul Olbany 1 и Olbany 3
Линолеум нарезка Братец лис | 45727 | Окончание акции снижения цены на бытовой линолеум коллекций и декоров Idyllia Nova Marlon 1, Favorite Muskat 1, Sprint Pro Parade 1, Comfort Spenser 5 и Pryanik 1, Bonus Duart 1 и Nord 1
Ковровая плитка | 45727 | Добавлена новая коллекция ковровой плитки AW Metro
Ковровая плитка | 45727 | Акция до 01.06.25: снижены цены на ковровую плитку AW Metro
  |   | Изменения 07 марта 2025г
Клей | 45723 | Добавлен новый клей для напольных покрытий Bonkeel
Клей | 45723 | Добавлен новый клей для виниловых покрытий Bonkeel
Клей | 45723 | Добавлена новая грунтовка Bonkeel Prof
Искусственная трава | 45723 | Изменение матрицы хранения на "под заказ" у искусственной травы
Плитка LVT и SPC | 45723 | Изменение матрицы хранения Екатеринбурга и Москвы у плитки LVT Tarkett Groove
  |   | Изменения 03 марта 2025г
Плитка LVT и SPC | 45719 | Повышены цены на плитку LVT INVICTUS
Линолеум нарезка Братец лис | 45719 | Акция: снижены цены нарезки на склад. запас линолеума выводимых коллекций и декоров
Плинтус | 45719 | Повышены цены на плинтус и фурнитуру Bonkeel Prof AL60, AL80, AL100, микроплинтус, теневой плинтус и крепеж к плинтусу МДФ
Плинтус | 45719 | Изменены цены на плинтус и фурнитуру Arbiton Indo, Integra, Vega и Stiq
Профиль  | 45719 | Повышены цены на профиль Bonkeel
Профиль  | 45719 | Добавлены новые длины профиля Bonkeel
Подложка | 45719 | Убрана из прайса подложка Arbiton Afirmax SPC Vinyl Smart и Multiprotec Acoustic 3 in 1
  |   | Изменения 21 февраля 2025г
Коммерческий ковролин | 45709 | Добавлен новый коммерческий ковролин Bonkeel Soul One
  |   | Изменения 13 февраля 2025г
Плитка LVT и SPC | 45701 | Добавлены декоры в акцию по снижению цены на складской запас плитки SPC Bonkeel Line 302, 303 и Bonkeel Base 111
  |   | Изменения 12 февраля 2025г
Подложка | 45700 | Повышены цены на подложку Изодом
  |   | Изменения 10 февраля 2025г
Линолеум бытовой рулоны | 45698 | Акция до 10.03.25: снижены цены на бытовой линолеум коллекций и декоров Idyllia Nova Marlon 1 и Urban 1, Favorite Muskat 1, Ashland 1 и Tron 2, Sprint Pro Baden 3 и Parade 1, Comfort Spenser 5 и Pryanik 1, Bonus Duart 1 и Nord 1, Stimul Olbany 1 и Olbany 3
Линолеум нарезка Братец лис | 45698 | Акция до 10.03.25: снижены цены нарезки на бытовой линолеум коллекций и декоров Idyllia Nova Marlon 1, Favorite Muskat 1, Sprint Pro Parade 1, Comfort Spenser 5 и Pryanik 1, Bonus Duart 1 и Nord 1
  |   | Изменения 07 февраля 2025г
